CustomerID,Recency,Frequency,Monetary,R_quintile,F_quintile,M_quintile,rfm_segment,Segment,Country
12520,79,5,2634.26,3,5,5,355,Loyal Customers,Germany
12521,142,1,599.68,2,1,3,213,About To Sleep,Germany
12522,39,2,192.72,4,3,2,432,Potential Loyalist,Germany
12523,19,11,1789.77,4,5,4,454,Champions,France
12524,9,8,4485.72,5,5,5,555,Champions,Germany
12526,0,3,1316.66,5,4,4,544,Champions,Germany
12527,81,3,348.71000000000004,3,4,2,342,Potential Loyalist,Germany
12528,9,6,1933.48,5,5,4,554,Champions,Germany
12530,59,4,1662.28,3,4,4,344,Loyal Customers,Germany
12531,14,1,125.22,5,1,1,511,Recent Customers,Germany
12532,30,1,349.83000000000004,4,1,2,412,Recent Customers,France
12534,130,1,1089.18,2,1,4,214,Cant Lose Them,Germany
12535,91,2,716.35,3,3,3,333,Potential Loyalist,France
12536,43,3,12601.830000000002,4,4,5,445,Champions,France
12538,29,1,363.95,4,1,2,412,Recent Customers,Spain
12539,22,4,5568.35,4,4,5,445,Champions,Spain
12540,19,17,13400.24,4,5,5,455,Champions,Spain
12541,29,3,981.18,4,4,4,444,Loyal Customers,Spain
12544,36,1,372.7,4,1,2,412,Recent Customers,Spain
12545,75,2,1000.39,3,3,4,334,Customers Needing Attention,Spain
12546,46,2,1161.5,4,3,4,434,Customers Needing Attention,Spain
12547,197,2,207.8,2,3,2,232,Hibernating,Spain
12548,166,1,95.2,2,1,1,211,Hibernating,Spain
12550,79,1,964.83,3,1,4,314,Promising,Spain
12551,357,1,168.0,1,1,1,111,Lost,Spain
12552,38,2,437.82,4,3,3,433,Potential Loyalist,Italy
12553,8,10,3692.28,5,5,5,555,Champions,France
12556,50,2,603.71,3,3,3,333,Potential Loyalist,Spain
12557,16,5,11990.96,5,5,5,555,Champions,Spain
12558,7,1,269.96,5,1,2,512,Recent Customers,USA
12559,310,2,561.71,1,3,3,133,At Risk,Germany
12560,5,3,2134.01,5,4,5,545,Champions,Germany
12561,302,1,238.85,1,1,2,112,Lost,Germany
12562,8,7,3781.74,5,5,5,555,Champions,France
12564,261,1,456.9,1,1,3,113,Cant Lose Them,France
12565,288,1,145.92,1,1,1,111,Lost,Saudi Arabia
12566,86,1,351.65,3,1,2,312,About To Sleep,Germany
12567,22,10,9401.28,4,5,5,455,Champions,France
12569,2,32,4124.69,5,5,5,555,Champions,Germany
12571,39,2,519.61,4,3,3,433,Potential Loyalist,France
12572,8,2,1020.42,5,3,4,534,Customers Needing Attention,Germany
12573,227,1,160.54000000000002,2,1,1,211,Hibernating,France
12574,315,1,218.45,1,1,2,112,Lost,France
12576,35,5,1315.83,4,5,4,454,Champions,Poland
12577,35,3,657.8,4,4,3,443,Customers Needing Attention,France
12578,21,2,2794.51,4,3,5,435,Loyal Customers,Italy
12579,78,1,440.42,3,1,3,313,Promising,France
12580,246,1,415.7,1,1,2,112,Lost,Germany
12581,39,1,197.71,4,1,2,412,Recent Customers,Germany
12582,238,2,511.36,1,3,3,133,At Risk,Finland
12583,2,15,7281.38,5,5,5,555,Champions,France
12584,3,9,2338.15,5,5,5,555,Champions,Italy
12585,234,2,2040.1,2,3,5,235,At Risk,Germany
12586,17,1,196.94000000000003,5,1,2,512,Recent Customers,Italy
12587,7,1,144.0,5,1,1,511,Recent Customers,Finland
12588,39,1,214.9,4,1,2,412,Recent Customers,Finland
12589,28,2,646.68,4,3,3,433,Potential Loyalist,France
12590,211,2,9864.26,2,3,5,235,At Risk,Germany
12591,317,1,452.85,1,1,3,113,Cant Lose Them,Italy
12592,92,2,437.6,3,3,2,332,Hibernating,Germany
12593,108,3,418.1,3,4,2,342,Potential Loyalist,France
12594,37,10,3338.2200000000003,4,5,5,455,Champions,Italy
12596,51,2,618.27,3,3,3,333,Potential Loyalist,Spain
12597,19,4,3811.22,4,4,5,445,Champions,Spain
12598,9,8,3023.08,5,5,5,555,Champions,France
12599,29,7,1032.58,4,5,4,454,Champions,France
12600,28,10,2599.04,4,5,5,455,Champions,Germany
12601,189,5,577.0600000000001,2,5,3,253,At Risk,Germany
12602,58,1,153.12,3,1,1,311,Recent Customers,France
12603,21,1,739.1999999999999,4,1,3,413,Promising,Germany
12604,79,2,254.18,3,3,2,332,Hibernating,France
12607,60,1,1579.51,3,1,4,314,Promising,USA
12609,78,3,1126.85,3,4,4,344,Loyal Customers,Germany
12610,22,5,2099.54,4,5,5,455,Champions,Italy
12611,52,1,1193.32,3,1,4,314,Promising,Italy
12612,74,1,704.0400000000001,3,1,3,313,Promising,Germany
12613,57,5,3344.38,3,5,5,355,Loyal Customers,Germany
12614,277,1,315.6,1,1,2,112,Lost,Germany
12615,2,4,2291.19,5,4,5,545,Champions,France
12616,95,2,713.3,3,3,3,333,Potential Loyalist,France
12617,29,1,355.53,4,1,2,412,Recent Customers,France
12618,21,1,177.31,4,1,1,411,Recent Customers,Italy
12619,16,9,3641.24,5,5,5,555,Champions,Germany
12620,14,3,1339.41,5,4,4,544,Champions,France
12621,1,20,13689.67,5,5,5,555,Champions,Germany
12622,232,1,180.1,2,1,1,211,Hibernating,Germany
12623,276,1,305.1,1,1,2,112,Lost,Germany
12624,106,2,641.13,3,3,3,333,Potential Loyalist,France
12625,211,2,2683.82,2,3,5,235,At Risk,Germany
12626,23,9,6620.48,4,5,5,455,Champions,Germany
12627,10,7,4478.53,5,5,5,555,Champions,Germany
12628,4,3,786.46,5,4,3,543,Loyal Customers,Germany
12630,9,2,1270.88,5,3,4,534,Customers Needing Attention,Finland
12631,57,1,640.5,3,1,3,313,Promising,Finland
12633,58,4,2163.98,3,4,5,345,Loyal Customers,Germany
12635,89,2,1689.18,3,3,4,334,Customers Needing Attention,Germany
12637,67,8,6021.9,3,5,5,355,Loyal Customers,France
12638,33,1,671.69,4,1,3,413,Promising,Sweden
12639,238,1,486.1,1,1,3,113,Cant Lose Them,Sweden
12640,23,3,1174.58,4,4,4,444,Loyal Customers,France
12641,115,1,185.9,2,1,2,212,Hibernating,Sweden
12642,25,3,1013.26,4,4,4,444,Loyal Customers,Germany
12643,128,6,3344.64,2,5,5,255,At Risk,France
12644,129,1,477.91,2,1,3,213,About To Sleep,Germany
12645,33,4,1775.18,4,4,4,444,Loyal Customers,Germany
12646,4,2,1346.97,5,3,4,534,Customers Needing Attention,USA
12647,22,12,3722.82,4,5,5,455,Champions,Germany
12648,154,1,318.05,2,1,2,212,Hibernating,Germany
12649,107,3,623.51,3,4,3,343,Customers Needing Attention,Germany
12650,3,1,314.44,5,1,2,512,Recent Customers,France
12651,334,1,114.0,1,1,1,111,Lost,France
12652,331,1,919.98,1,1,4,114,Cant Lose Them,France
12653,148,2,2209.85,2,3,5,235,At Risk,Israel
12654,10,5,601.98,5,5,3,553,Potential Loyalist,Germany
12656,17,5,4051.17,5,5,5,555,Champions,France
12657,11,4,1643.18,5,4,4,544,Champions,France
12658,18,1,686.05,4,1,3,413,Promising,Germany
12659,29,1,91.68,4,1,1,411,Recent Customers,France
12660,11,1,245.1,5,1,2,512,Recent Customers,France
12662,0,11,3849.78,5,5,5,555,Champions,Germany
12664,8,9,4881.88,5,5,5,555,Champions,Finland
12665,324,1,63.0,1,1,1,111,Lost,Germany
12667,58,1,620.13,3,1,3,313,Promising,Finland
12668,11,4,3807.15,5,4,5,545,Champions,Germany
12669,150,3,2744.03,2,4,5,245,At Risk,France
12670,10,5,2996.05,5,5,5,555,Champions,France
12672,329,1,225.9,1,1,2,112,Lost,France
12673,5,2,610.52,5,3,3,533,Potential Loyalist,Germany
12674,38,4,1970.6,4,4,4,444,Loyal Customers,France
12676,24,6,1331.39,4,5,4,454,Champions,Sweden
12678,42,12,17628.46,4,5,5,455,Champions,France
12679,58,4,1113.02,3,4,4,344,Loyal Customers,France
12680,0,4,862.81,5,4,3,543,Loyal Customers,France
12681,14,22,13787.54,5,5,5,555,Champions,France
12682,3,31,12288.22,5,5,5,555,Champions,France
12683,4,15,8476.57,5,5,5,555,Champions,France
12684,7,7,2283.63,5,5,5,555,Champions,France
12685,28,6,2863.08,4,5,5,455,Champions,France
12686,371,1,89.14,1,1,1,111,Lost,France
12688,113,1,4873.81,3,1,5,315,Promising,Israel
12689,25,2,1247.61,4,3,4,434,Customers Needing Attention,France
12690,205,1,389.01,2,1,2,212,Hibernating,France
12691,28,6,1035.8,4,5,4,454,Champions,France
12693,127,4,855.91,2,4,3,243,At Risk,Germany
12694,70,2,869.67,3,3,3,333,Potential Loyalist,France
12695,7,4,582.1,5,4,3,543,Loyal Customers,France
12697,28,3,957.59,4,4,4,444,Loyal Customers,Sweden
12700,7,4,4939.99,5,4,5,545,Champions,France
12701,79,2,797.71,3,3,3,333,Potential Loyalist,Germany
12702,19,1,219.0,4,1,2,412,Recent Customers,Germany
12703,71,1,283.55,3,1,2,312,About To Sleep,Germany
12704,7,8,2340.84,5,5,5,555,Champions,Finland
12705,15,9,6868.29,5,5,5,555,Champions,Germany
12707,291,1,603.42,1,1,3,113,Cant Lose Them,France
12708,29,10,2712.91,4,5,5,455,Champions,Germany
12709,15,15,9736.52,5,5,5,555,Champions,Germany
12710,96,3,1149.02,3,4,4,344,Loyal Customers,Germany
12712,28,13,4396.13,4,5,5,455,Champions,Germany
12713,0,1,848.55,5,1,3,513,Promising,Germany
12714,9,5,4708.86,5,5,5,555,Champions,France
12715,106,1,353.86,3,1,2,312,About To Sleep,Sweden
12716,3,2,1053.49,5,3,4,534,Customers Needing Attention,France
12717,151,2,1030.98,2,3,4,234,At Risk,Greece
12718,71,1,238.25,3,1,2,312,About To Sleep,France
12719,5,2,644.95,5,3,3,533,Potential Loyalist,France
12720,2,25,5781.73,5,5,5,555,Champions,Germany
12721,31,6,2656.13,4,5,5,455,Champions,France
12722,85,4,997.63,3,4,4,344,Loyal Customers,France
12723,3,5,725.07,5,5,3,553,Potential Loyalist,France
12724,5,4,1031.41,5,4,4,544,Champions,France
12725,371,1,427.8,1,1,2,112,Lost,Italy
12726,28,7,2609.1,4,5,5,455,Champions,France
12727,10,7,3980.7,5,5,5,555,Champions,France
12728,71,4,836.33,3,4,3,343,Customers Needing Attention,France
12729,113,1,453.01,3,1,3,313,Promising,France
12731,23,12,18895.91,4,5,5,455,Champions,France
12732,179,1,236.26,2,1,2,212,Hibernating,France
12733,234,1,383.95,2,1,2,212,Hibernating,USA
12734,352,1,110.4,1,1,1,111,Lost,France
12735,315,2,779.5699999999999,1,3,3,133,At Risk,France
12736,332,1,234.0,1,1,2,112,Lost,France
12738,372,1,155.35,1,1,1,111,Lost,Germany
12739,78,2,1013.04,3,3,4,334,Customers Needing Attention,United Arab Emirates
12740,63,1,427.6,3,1,2,312,About To Sleep,France
12743,134,2,546.43,2,3,3,233,Hibernating,Unspecified
12744,51,7,21279.29,3,5,5,355,Loyal Customers,Singapore
12747,2,11,4196.01,5,5,5,555,Champions,United Kingdom
12748,0,209,33719.73,5,5,5,555,Champions,United Kingdom
12749,3,5,4090.88,5,5,5,555,Champions,United Kingdom
12750,128,1,275.88,2,1,2,212,Hibernating,Poland
12752,81,1,4366.78,3,1,5,315,Promising,Norway
12753,22,6,21429.39,4,5,5,455,Champions,Japan
12754,235,3,3010.74,1,4,5,145,At Risk,Japan
12755,280,2,3811.95,1,3,5,135,At Risk,Japan
12756,86,1,112.07999999999998,3,1,1,311,Recent Customers,Japan
12757,15,13,7857.1,5,5,5,555,Champions,Portugal
12758,116,2,2791.59,2,3,5,235,At Risk,Portugal
12759,52,3,1531.44,3,4,4,344,Loyal Customers,Netherlands
12762,7,2,1898.52,5,3,4,534,Customers Needing Attention,Portugal
12763,138,2,494.08,2,3,3,233,Hibernating,Japan
12764,316,1,1693.88,1,1,4,114,Cant Lose Them,Lebanon
12766,3,7,6989.63,5,5,5,555,Champions,Portugal
12769,238,1,1143.6,1,1,4,114,Cant Lose Them,Brazil
12770,210,1,1351.45,2,1,4,214,Cant Lose Them,Japan
12772,59,1,892.47,3,1,3,313,Promising,Portugal
12775,17,5,1386.04,5,5,4,554,Champions,Netherlands
12778,19,6,822.23,4,5,3,453,Potential Loyalist,Netherlands
12779,37,8,3981.36,4,5,5,455,Champions,Poland
12781,63,2,826.74,3,3,3,333,Potential Loyalist,Czech Republic
12782,4,5,2330.92,5,5,5,555,Champions,Portugal
12783,2,6,2225.91,5,5,5,555,Champions,Portugal
12784,9,2,574.42,5,3,3,533,Potential Loyalist,Portugal
12785,364,1,311.95,1,1,2,112,Lost,Portugal
12787,9,3,463.66,5,4,3,543,Loyal Customers,Netherlands
12789,65,1,91.85,3,1,1,311,Recent Customers,Netherlands
12790,192,1,324.92,2,1,2,212,Hibernating,Netherlands
12791,373,1,192.6,1,1,2,112,Lost,Netherlands
12792,256,1,400.54,1,1,2,112,Lost,Portugal
12793,334,2,545.48,1,3,3,133,At Risk,Portugal
12794,53,2,860.41,3,3,3,333,Potential Loyalist,Portugal
12795,18,1,430.48,4,1,2,412,Recent Customers,Portugal
12797,365,1,254.03,1,1,2,112,Lost,Portugal
12798,10,3,6977.04,5,4,5,545,Champions,Japan
12802,186,1,427.58,2,1,2,212,Hibernating,Netherlands
12808,36,3,483.65,4,4,3,443,Customers Needing Attention,Portugal
12809,177,1,489.31,2,1,3,213,About To Sleep,Portugal
12811,260,3,514.85,1,4,3,143,At Risk,Portugal
12812,44,1,229.64,4,1,2,412,Recent Customers,Japan
12814,101,1,125.92,3,1,1,311,Recent Customers,Poland
12815,147,2,1063.46,2,3,4,234,At Risk,Poland
12816,95,2,572.2,3,3,3,333,Potential Loyalist,Poland
12817,281,1,166.04,1,1,1,111,Lost,Austria
12818,261,1,1542.08,1,1,4,114,Cant Lose Them,Austria
12820,3,4,942.34,5,4,4,544,Champions,United Kingdom
12821,214,1,92.72,2,1,1,211,Hibernating,United Kingdom
12822,70,2,948.88,3,3,4,334,Customers Needing Attention,United Kingdom
12823,74,5,1759.5,3,5,4,354,Loyal Customers,United Kingdom
12824,59,1,397.12,3,1,2,312,About To Sleep,United Kingdom
12826,2,7,1474.72,5,5,4,554,Champions,United Kingdom
12827,5,3,430.15,5,4,2,542,Potential Loyalist,United Kingdom
12828,2,6,1018.71,5,5,4,554,Champions,United Kingdom
12829,336,2,293.0,1,3,2,132,Hibernating,United Kingdom
12830,37,6,6814.64,4,5,5,455,Champions,United Kingdom
12831,262,1,215.05,1,1,2,112,Lost,United Kingdom
12832,32,2,383.03,4,3,2,432,Potential Loyalist,United Kingdom
12833,145,1,417.38,2,1,2,212,Hibernating,United Kingdom
12834,282,1,312.38,1,1,2,112,Lost,United Kingdom
12836,59,4,2612.86,3,4,5,345,Loyal Customers,United Kingdom
12837,173,1,134.1,2,1,1,211,Hibernating,United Kingdom
12838,33,2,683.13,4,3,3,433,Potential Loyalist,United Kingdom
12839,2,14,5591.42,5,5,5,555,Champions,United Kingdom
12840,143,4,2726.77,2,4,5,245,At Risk,United Kingdom
12841,4,25,4022.35,5,5,5,555,Champions,United Kingdom
12842,70,2,1118.99,3,3,4,334,Customers Needing Attention,United Kingdom
12843,65,8,1702.26,3,5,4,354,Loyal Customers,United Kingdom
12844,29,2,325.96000000000004,4,3,2,432,Potential Loyalist,United Kingdom
12845,267,4,354.09,1,4,2,142,At Risk,United Kingdom
12847,22,1,871.54,4,1,3,413,Promising,United Kingdom
12849,31,2,1050.89,4,3,4,434,Customers Needing Attention,United Kingdom
12851,96,1,135.18,3,1,1,311,Recent Customers,United Kingdom
12852,294,1,311.55,1,1,2,112,Lost,United Kingdom
12853,134,6,1957.1,2,5,4,254,At Risk,United Kingdom
12854,78,3,1324.5,3,4,4,344,Loyal Customers,United Kingdom
12855,372,1,38.1,1,1,1,111,Lost,United Kingdom
12856,7,6,2179.93,5,5,5,555,Champions,United Kingdom
12857,210,2,1106.4,2,3,4,234,At Risk,United Kingdom
12863,52,1,521.2,3,1,3,313,Promising,United Kingdom
12864,138,1,147.12,2,1,1,211,Hibernating,United Kingdom
12865,26,2,1568.23,4,3,4,434,Customers Needing Attention,Austria
12866,283,1,559.12,1,1,3,113,Cant Lose Them,Belgium
12867,26,7,4036.82,4,5,5,455,Champions,United Kingdom
12868,185,6,1607.0600000000002,2,5,4,254,At Risk,United Kingdom
12871,84,2,380.64,3,3,2,332,Hibernating,United Kingdom
12872,326,2,599.97,1,3,3,133,At Risk,United Kingdom
12873,282,1,374.0,1,1,2,112,Lost,United Kingdom
12875,143,2,343.2300000000001,2,3,2,232,Hibernating,United Kingdom
12876,57,2,2218.02,3,3,5,335,Loyal Customers,Belgium
12877,3,12,1535.77,5,5,4,554,Champions,United Kingdom
12878,236,2,854.99,1,3,3,133,At Risk,United Kingdom
12879,44,3,573.22,4,4,3,443,Customers Needing Attention,United Kingdom
12881,275,1,298.0,1,1,2,112,Lost,United Kingdom
12882,9,2,1463.04,5,3,4,534,Customers Needing Attention,United Kingdom
12883,24,4,703.47,4,4,3,443,Customers Needing Attention,United Kingdom
12884,88,1,309.05,3,1,2,312,About To Sleep,United Kingdom
12885,63,3,1175.22,3,4,4,344,Loyal Customers,United Kingdom
12886,67,2,1378.4,3,3,4,334,Customers Needing Attention,United Kingdom
12888,214,2,354.12,2,3,2,232,Hibernating,United Kingdom
12890,24,1,380.47,4,1,2,412,Recent Customers,United Kingdom
12891,185,3,331.0,2,4,2,242,At Risk,United Kingdom
12893,30,1,188.14,4,1,2,412,Recent Customers,United Kingdom
12895,42,2,372.8,4,3,2,432,Potential Loyalist,United Kingdom
12897,204,2,216.5,2,3,2,232,Hibernating,United Kingdom
12901,8,28,17654.54,5,5,5,555,Champions,United Kingdom
12902,264,1,138.68,1,1,1,111,Lost,United Kingdom
12904,18,2,509.58,4,3,3,433,Potential Loyalist,United Kingdom
12906,11,5,2919.81,5,5,5,555,Champions,United Kingdom
12908,176,2,750.0,2,3,3,233,Hibernating,United Kingdom
12909,39,5,2178.67,4,5,5,455,Champions,United Kingdom
12910,23,8,3075.04,4,5,5,455,Champions,United Kingdom
12912,2,5,1662.3,5,5,4,554,Champions,United Kingdom
12913,4,5,2483.63,5,5,5,555,Champions,United Kingdom
12915,148,2,363.65,2,3,2,232,Hibernating,United Kingdom
12916,138,4,3006.15,2,4,5,245,At Risk,United Kingdom
12917,128,1,594.0,2,1,3,213,About To Sleep,United Kingdom
12919,8,6,1335.19,5,5,4,554,Champions,United Kingdom
12920,17,1,164.23,5,1,1,511,Recent Customers,United Kingdom
12921,9,37,16587.09,5,5,5,555,Champions,United Kingdom
12922,161,1,405.38,2,1,2,212,Hibernating,United Kingdom
12923,64,1,176.97,3,1,1,311,Recent Customers,United Kingdom
12924,88,4,933.7,3,4,4,344,Loyal Customers,United Kingdom
12925,4,2,694.05,5,3,3,533,Potential Loyalist,United Kingdom
12928,35,5,2062.7000000000003,4,5,5,455,Champions,United Kingdom
12929,311,1,117.85,1,1,1,111,Lost,United Kingdom
